mrxlocation,detectivelocation1,detectivelocation2,detectivelocation3,detectivelocation4,detectivelocation5,detective1taxi,detective1bus,detective1train,detective2taxi,detective2bus,detective2train,detective3taxi,detective3bus,detective3train,detective4taxi,detective4bus,detective4train,detective5taxi,detective5bus,detective5train,mrxtaxi,mrxbus,mrxtrain,mrxdouble,mrxsecret,turnsleft,newmrxlocation
45,94,91,117,26,155,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,79
79,156,39,105,116,74,10,8,4,10,8,4,10,8,4,10,8,4,11,7,4,7,4,2,1,5,22,47
47,89,25,75,140,118,10,7,4,9,8,4,10,7,4,10,7,4,9,8,4,9,6,1,0,5,20,62
62,134,38,82,67,58,8,8,4,8,8,4,10,6,4,10,7,3,9,7,4,11,7,2,0,5,19,48
48,65,24,127,79,75,9,6,4,7,8,4,7,8,4,10,7,2,8,7,4,14,7,3,0,5,18,34
45,50,26,112,123,117,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,13
13,38,27,165,129,100,10,8,4,10,8,4,11,7,4,10,8,4,10,8,4,7,4,2,1,5,22,37
37,135,180,26,24,111,9,8,4,10,7,4,9,8,4,9,8,4,10,7,4,11,4,2,0,4,20,50
50,79,13,15,153,128,10,7,3,8,8,4,8,8,4,10,6,4,9,7,4,12,6,3,0,4,19,37
37,140,111,41,67,24,9,7,3,10,6,3,8,7,4,10,7,2,7,8,4,12,7,6,0,4,18,50
50,28,37,79,23,82,7,7,4,6,8,4,10,6,2,10,6,2,9,6,3,13,9,7,0,4,17,38
38,65,37,67,16,36,8,6,3,9,6,2,10,6,1,6,7,4,5,8,4,16,9,8,0,4,16,25
25,15,37,67,51,50,5,7,4,4,8,4,8,5,3,9,6,1,8,6,2,19,10,8,0,4,15,39
172,91,138,141,26,53,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,159
159,69,133,39,124,105,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,3,3,2,5,23,170
170,111,140,52,107,25,10,7,4,10,7,4,9,8,4,10,7,4,9,8,4,9,6,3,2,5,22,115
115,38,67,133,124,105,8,8,4,9,7,4,10,6,4,9,7,4,10,6,4,10,9,3,1,4,20,114
114,108,51,82,111,140,10,5,4,7,8,4,9,6,4,8,7,4,9,6,4,12,11,3,1,4,19,131
131,140,133,124,67,135,9,5,4,9,5,4,8,6,4,6,8,4,10,4,4,12,15,3,1,4,18,112
112,161,111,127,52,132,9,4,4,8,5,4,8,5,4,6,7,4,8,5,4,13,17,3,0,4,16,99
99,13,102,114,100,135,6,6,4,8,4,4,7,5,4,8,4,4,8,4,4,14,20,3,0,4,15,110
110,143,67,131,46,112,7,4,4,8,3,4,6,5,4,6,6,3,7,4,4,16,21,4,0,4,14,98
98,128,99,130,111,34,6,4,4,6,4,4,5,5,4,8,3,3,6,5,3,18,22,5,0,4,13,97
97,112,139,124,63,140,5,4,4,4,5,4,8,2,3,6,4,3,6,4,3,19,24,6,0,4,12,78
78,109,154,34,89,111,7,2,3,3,5,4,6,3,3,6,4,2,4,4,4,21,25,7,0,4,11,77
77,13,153,46,97,79,6,4,1,3,4,4,6,2,3,6,2,3,4,4,3,22,27,9,0,3,10,95
95,46,58,109,124,62,6,4,0,6,1,3,5,2,3,3,3,4,3,4,3,23,29,10,0,3,9,122
122,97,61,59,45,77,4,2,3,2,4,3,5,1,3,5,4,0,3,2,4,26,30,10,0,3,8,123
123,58,109,75,62,124,4,4,0,3,2,3,4,1,3,1,4,3,3,1,4,30,30,10,0,3,7,165
165,58,77,79,124,111,3,1,3,4,3,0,0,4,3,2,2,3,2,1,4,34,30,10,0,3,6,179
179,57,163,95,46,123,2,1,3,2,1,3,3,3,0,0,4,2,2,1,3,35,31,12,0,3,5,164
164,78,58,122,153,148,0,3,2,1,1,3,2,3,0,2,1,2,1,1,3,37,32,13,0,3,4,178
178,44,144,79,164,111,0,1,3,2,2,0,0,2,2,0,1,3,2,1,1,38,34,14,0,3,3,189
189,111,123,153,44,164,0,2,1,2,1,0,2,1,0,0,1,3,0,1,3,37,35,16,0,3,2,176
176,122,153,180,44,164,2,0,0,0,2,0,2,0,0,0,1,3,0,1,3,36,37,17,0,3,1,163
78,50,91,94,29,174,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,67
67,90,49,175,41,74,10,8,4,10,8,4,10,8,4,10,8,4,11,7,4,8,3,2,1,5,22,100
100,94,171,40,105,36,11,6,4,9,8,4,9,8,4,9,8,4,9,8,4,12,2,2,0,5,20,113
113,89,41,199,49,74,8,8,4,8,8,4,8,8,4,8,8,4,11,5,4,16,3,2,0,4,19,114
114,94,50,161,87,105,11,4,4,7,8,4,8,7,4,8,7,4,7,8,4,17,6,2,0,4,18,115
115,89,86,199,49,93,7,7,4,8,6,4,8,6,4,6,8,4,10,4,4,18,9,2,0,4,17,114
114,79,161,36,102,140,10,4,3,8,5,4,5,8,4,8,5,4,7,7,3,18,11,4,0,4,16,131
131,199,63,35,115,132,8,4,4,9,4,3,4,8,4,7,5,4,6,7,3,21,12,4,0,4,15,130
130,65,114,64,128,102,3,8,4,5,7,3,8,4,3,8,3,4,6,5,4,24,13,4,0,4,14,124
124,63,67,185,82,115,7,4,3,6,4,4,8,3,3,3,7,4,4,7,3,25,15,5,0,4,13,77
77,51,140,127,79,128,5,4,4,3,6,4,3,7,3,7,3,3,8,3,2,27,16,6,0,4,12,124
124,161,133,139,67,78,8,2,2,2,7,3,2,6,4,4,4,4,6,3,3,31,16,6,0,4,11,109
109,130,97,157,128,111,1,6,4,5,3,3,2,6,3,8,1,2,4,4,3,32,18,7,0,4,10,110
78,53,141,26,174,138,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,79
79,161,69,152,15,158,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,9,2,2,1,5,22,47
47,141,14,153,68,107,9,8,4,9,8,4,9,8,4,9,8,4,10,7,4,12,3,1,0,5,20,62
62,105,13,133,180,51,10,6,4,9,7,4,8,8,4,9,7,4,8,8,4,13,6,1,0,5,19,48
48,127,67,153,89,14,7,8,4,7,8,4,9,6,4,9,6,4,9,6,4,15,8,1,0,5,18,35
35,25,124,102,67,65,8,6,4,9,5,4,7,7,4,9,6,3,7,7,4,15,11,2,0,5,17,36
36,67,77,66,35,14,7,6,4,9,4,4,8,6,3,6,7,4,7,6,4,17,13,2,0,5,16,37
37,15,36,78,49,13,7,5,4,5,7,4,9,3,4,7,6,3,7,6,3,18,15,3,0,5,15,24
170,112,91,26,174,123,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,159
159,124,161,39,111,107,11,7,4,10,8,4,10,8,4,10,8,4,10,8,4,7,4,3,2,5,23,198
198,72,67,128,77,25,10,7,4,10,8,3,10,7,4,11,6,4,9,8,4,7,7,4,2,5,22,186
186,14,124,89,105,199,8,8,4,11,5,4,10,8,2,10,6,4,10,6,4,7,10,5,2,5,21,159
159,89,128,153,13,198,10,5,4,10,8,1,11,4,4,8,7,4,9,6,4,7,13,6,2,5,20,141
141,199,89,187,140,124,8,6,4,8,7,3,10,7,1,10,5,3,11,3,4,6,15,8,1,5,18,127
127,172,171,130,128,126,9,7,1,7,6,4,10,3,4,8,7,2,9,5,3,8,15,9,0,5,16,102
102,199,124,140,159,114,6,6,4,9,3,4,8,7,1,8,7,1,8,5,3,12,14,10,0,5,15,67
67,156,77,158,128,113,8,6,1,9,2,4,7,7,1,6,5,4,7,5,3,14,16,10,0,5,14,23
23,142,96,169,114,89,6,7,1,8,2,4,7,6,1,6,5,3,6,5,3,18,16,11,0,4,13,12
12,97,115,129,184,13,7,2,4,5,5,3,5,7,1,6,6,1,6,5,2,21,16,12,0,4,12,3
3,156,46,118,127,78,6,5,1,6,5,1,4,7,1,4,5,3,6,2,4,23,17,13,0,4,11,22
22,46,102,116,140,1,6,1,4,4,4,3,3,7,1,5,5,1,6,5,0,25,18,14,0,4,10,65
65,46,86,13,153,67,6,4,0,3,6,1,6,1,3,5,5,0,4,3,3,25,20,16,0,4,9,63
63,167,52,65,23,47,4,5,0,3,5,1,4,2,3,6,0,3,5,4,0,27,22,16,0,4,8,80
80,62,22,153,63,67,4,4,0,5,0,3,3,5,0,4,1,3,3,4,1,30,24,16,0,3,7,99
99,34,166,100,79,111,4,0,3,2,5,0,4,0,3,3,4,0,3,4,0,32,25,17,0,3,6,112
35,112,91,138,174,155,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,37
37,154,161,124,105,100,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,37
37,63,77,128,140,107,10,7,4,10,7,4,10,7,4,9,8,4,10,7,4,6,7,3,0,5,20,50
50,106,82,89,78,100,9,7,4,9,7,4,10,7,3,9,7,4,10,6,4,7,9,4,0,5,19,37
37,81,66,105,77,88,9,6,4,8,7,4,8,7,4,9,6,4,9,7,3,10,10,4,0,5,18,24
24,87,117,64,78,65,8,6,4,8,7,3,8,6,4,8,6,4,7,7,4,13,11,4,0,5,17,13
13,61,63,116,88,82,7,6,4,7,6,4,7,7,3,7,6,4,7,6,4,16,12,4,0,5,16,23
23,100,127,79,46,89,7,5,4,7,6,3,6,6,4,6,6,4,6,6,4,19,13,4,0,5,15,12
12,13,79,67,82,116,6,6,3,6,6,3,6,6,3,7,4,4,7,5,3,18,15,7,0,5,14,3
3,66,67,65,52,104,6,4,4,6,6,2,6,5,3,6,5,3,6,5,3,19,17,8,0,5,13,11
11,116,49,51,68,22,5,5,3,5,4,4,5,5,3,5,6,2,6,4,3,23,18,8,0,4,12,10
10,52,67,86,66,34,4,5,3,4,6,2,5,4,3,4,4,4,6,3,3,25,20,8,0,4,11,2
2,65,52,67,23,10,3,4,4,5,3,3,4,4,3,4,5,2,5,3,3,26,23,8,0,4,10,20
20,79,13,2,3,22,4,4,2,5,2,3,4,3,3,4,4,2,3,3,4,26,26,9,0,4,9,9
9,34,23,20,78,46,3,2,4,4,3,2,3,3,3,4,3,2,5,2,2,26,29,10,0,4,8,19
19,46,13,1,33,10,4,2,2,3,3,2,5,2,1,2,3,3,2,2,4,28,30,11,0,4,7,32
45,155,94,50,53,123,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,76
76,156,40,124,38,93,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,62
62,25,111,154,53,92,9,8,4,10,7,4,10,7,4,9,8,4,9,8,4,8,5,3,0,5,20,48
48,140,40,73,153,38,9,7,4,8,8,4,8,8,4,10,7,3,8,8,4,11,5,4,0,5,19,63
63,24,111,52,92,82,7,8,4,10,7,2,7,8,4,7,8,4,9,6,4,13,6,5,0,5,18,80
80,74,67,79,13,65,6,8,4,7,7,4,10,7,1,6,8,4,8,6,4,16,7,6,0,4,17,100
100,52,63,46,66,111,6,7,4,10,6,1,6,8,3,7,6,4,7,7,3,16,9,8,0,4,16,101
101,34,13,82,112,80,6,7,3,6,6,4,6,6,4,6,7,3,9,6,1,18,11,8,0,4,15,114
114,100,23,99,125,48,6,5,4,6,5,4,8,6,1,5,7,3,5,7,3,20,13,8,0,4,14,115
115,63,110,22,131,82,4,7,3,7,6,1,5,5,4,4,7,3,6,4,4,23,14,8,0,4,13,108
